53,Carte physique et politique de l'Amérique septentrionale,"Brué, Adrien Hubert (1786-1832 ) | Goujon, J.",1821 [i.e. 1825],,,"Statement of Responsibility Note: par A.H. Brué, géographe de S.A.R. Monsieur.",,still image,,"Chez J. Goujon, editeur-propriétaire, rue du Bac, no. 6, près le Pont royal",Paris :,http://digitalcollections.nypl.org/items/784fed80-c52a-012f-20bb-3c075448cc4b
16748,"Letter to [Francis] Kinloch, Genthod, near Geneva","Emmet, Thomas Addis, 1828-1919 | Kinloch, Francis | Laurens, John, 1754-1782",1776-09-20,,"Regrets that misunderstandings have arisen between them on account of politics; but his good opinion of Kinlock and his strong friendship for him make him desirous of retaining those sentiments; avers that no American is so seldom seen at the Carolina Coffee house as himself and that he has little time to read the public papers; still thinks Kinlock's political principles wrong and abhors his sentiments with respect to his country, but believes he is sincere; is studying law in England, but will soon return to Carolina; Richard Hammond will deliver this letter and some pamphlets; he has been recommended to Chauvet's house in Geneva.",Citation/References Note: EM7736-9213,,text,,,"London, England",http://digitalcollections.nypl.org/items/52406a00-c537-012f-85dd-58d385a7bc34
19870,Letter to -- --,"Emmet, Thomas Addis, 1828-1919 | Hamilton, Alexander, 1757-1804",1785-04-25,,"Thinks his correspondent is in the right in his dispute with the Chancellor [Robert R. Livingston], but recommends a compromise, the Chancellor to content himself with one mill and agree to erect no more; represents the gravity of the political situation; the state is governed by two New England adventurers, Ford and Adgate, who make tools of the Yateses and their associates; but for the council of revision, their attempts to subvert the constitution and destroy the rights of private property would have had serious effects; all men of respectability ought to unite in the coming election to put the government into proper hands.",Citation/References Note: EM9328-9426,,text,,,New York,http://digitalcollections.nypl.org/items/02a721b0-c539-012f-6cde-58d385a7bc34
20076,Letter to [Horatio Gates],"Emmet, Thomas Addis, 1828-1919 | Gates, Horatio, 1728-1806 | Jackson, William",1784-08-06,,"Describes the funeral of [William] Claijon; [John] Armstrong and [John] Boyd have been sent by Council to settle the commotions at Wyoming; if a general convulsion could correct the present political system, he would not care how soon the spasm came; they are exposed to discord at home, and imposition and insult from abroad; desires to be remembered to the Chancellor [Livingston] and the family at the Manor.",Citation/References Note: EM9433-9588,,text,,,"Philadelphia, Pa.",http://digitalcollections.nypl.org/items/1eaa9560-c539-012f-1e3e-58d385a7bc34
29110,DINNER IN HONOR OF MR. FRANK POLLOCK [held by] PLEAIDES CLUB [at] REISENWEBER'S ([REST?];),"Buttolph, Frank E., Miss (d. 1924)",1905,,,General Note: POLITICALLY INCORRECT DRAWING OF AFRICAN NATIVES COOKING MR. POLLOCK,,still image,Menus,,,http://digitalcollections.nypl.org/items/2c683740-c53e-012f-65cd-58d385a7bc34
32815,Letter to Gen. [Nathanael] Greene,"Emmet, Thomas Addis, 1828-1919 | Greene, Nathanael, 1742-1786 | Leslie, Alexander, ca. 1740 1794",1782-04-04,,"The enforcement of acts for confiscating the property of loyalists, passed at the last session of the Assembly, has induced him to employ part of his force in seizing negroes belonging to men of the opposite party, in order to make restitution to distressed loyalists; this was the object of his late excursion towards Santee; points out the difference between the temporary sequestration practised by the British, and the perpetual ruin which the opposite party seeks to bring upon those who differ from them politically; suggests a meeting of commissioners. Copy. Endorsed.",Citation/References Note: EM15480-15704,,text,,,"Charleston, S.C.",http://digitalcollections.nypl.org/items/5a91b990-c540-012f-4b47-58d385a7bc34
33596,Letter to [Horatio] Gates,"Emmet, Thomas Addis, 1828-1919 | Gates, Horatio, 1728-1806 | Duane, James",1784-12-15,,"Acknowledges Gates's letter recommending a clergyman by the name of Gates, whom he has endeavored to provide for; since the return from exile they have been engaged in reestablishing the tranquility of the church, split into political parties; they had already called four clergymen before learning of Mr. Gates, and no prospect offered in the country parishes; however, he exerted himself to obtain for Mr. Gates the vacant post of chaplain of Congress, and thinks he will be appointed.",,,text,,,"Trenton, N.J.",http://digitalcollections.nypl.org/items/c8926bc0-c540-012f-02f8-58d385a7bc34
33658,"Letter to Dr. James Murray, Annapolis, Md.","Emmet, Thomas Addis, 1828-1919 | Murray, James | Fitzhugh, William",1784-12-22,,"Concerning Murray's purchase of Gen. Gates's warrants for military lands; as the warrants have not yet been sent, the location of them will be so protracted that the best lands will have been taken; the General should have employed an agent here; political controversies are warm over a separation from Virginia; a convention is to be held at Danville on the 27th; he would like to be able to return to Maryland.",,,text,,,"Jefferson County, Ky.",http://digitalcollections.nypl.org/items/cf1f04c0-c540-012f-3b69-58d385a7bc34
34467,"DINNER TO NEWSPAPER PUBLICITY MEN OF PHILADELPHIA POLITICS [held by] UNION REPUBLICAN CLUB EXECUTIVE COMMITTEE AND BOARD OF DIRECTORS [at] ""HOTEL MAJESTIC [PHILADELPHIA, PA]"" (HOTEL;)","Buttolph, Frank E., Miss (d. 1924)",1907,,,General Note: CHAMPAGNE; BLUE COVER WITH POLAR BEAR MOTIF; HUMOROUS; GUEST LIST,,still image,Menus,,,http://digitalcollections.nypl.org/items/52332100-c541-012f-6487-58d385a7bc34
35976,Letter to [Horatio Gates?],"Emmet, Thomas Addis, 1828-1919 | Gates, Horatio, 1728-1806 | North, William",1785-03-13,,"New York is the place for pleasure or politics; it is filled with knaves etc.; Knox is Secretary at War; news of other army acquaintances. Walker and Webb of the General's staff, and the Baron [Steuben], who is making a final settlement with Congress; his own affairs are in the hands of a committee; Fairlie is with Billy Barber at Albany; there is talk of raising troops; Gekup Reed is to marry Kitty Van Horne of this city; the Baron and himself read and make almanacs all day.",,,text,,,New York,http://digitalcollections.nypl.org/items/32c63650-c542-012f-509b-58d385a7bc34
36391,"Letter to Samuel M. Hopkins, Geneseo [N. Y.]","Emmet, Thomas Addis, 1828-1919 | Hopkins, Samuel M. | Van Ness, William W.",1811-11-08,,"Gives his views on politics; he regards the federal party as irretrievably lost; he strongly advises Hopkins to serve as judge if appointed, and states his reasons; envious and petty criticism must be expected.",,,text,,,"Albany, N.Y.",http://digitalcollections.nypl.org/items/6c297520-c542-012f-a944-58d385a7bc34
39189,"Fake menu to accompany Valentine Day menu of Gridiorn Club 17 February, 1912.","Buttolph, Frank E., Miss (d. 1924)",1912,English,,,"Political satire, American",still image | text,Menus,,,http://digitalcollections.nypl.org/items/6a7827d0-c544-012f-5343-58d385a7bc34
50142,Hotel Astor,"Buttolph, Frank E., Miss (d. 1924)",1919,English,,General Note: The League for Political Education,,text | still image,Menus,,,http://digitalcollections.nypl.org/items/76404a90-c54a-012f-dd68-58d385a7bc34
50347,Hotel Astor,"Buttolph, Frank E., Miss (d. 1924)",1919,English,,General Note: The Academy of Political Science,,text | still image,Menus,,,http://digitalcollections.nypl.org/items/951b6e40-c54a-012f-6441-58d385a7bc34
52843,Hotel Astor,"Buttolph, Frank E., Miss (d. 1924)",1929,English,,General Note: The Academy of Political Science,,text | still image,Menus,,,http://digitalcollections.nypl.org/items/fee7d530-c54b-012f-502a-58d385a7bc34
69239,Union Square looking north towards 4th Ave.,"Washington, George, 1732-1799",,,,"General Note: Views of Manhattan, 14th street and above: 4th Avenue, looking up from Union Square, one view showing wagon with campaign posters in foreground; 14th Street, W. 34th from 5th, E. 34th from 5th; 42nd Street looking east from 6th Avenue; 58th Street and 58th and Madison; Paving Lenox Avenue above Central Park; carriage crossing Washington Bridge; posters advertising theaters, business on unidentified wall; unidentified street scenes; one business and four houses recently moved, each with advertisement on the back promoting the moving firm.",Statues | Political campaigns,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/84e89d50-c556-012f-27f9-58d385a7bc34
70243,Union Square looking North towards 4th Ave. [Wagon with campaign sign in foreground.],"Washington, George, 1732-1799",1871,,,"General Note: Views of Union Square, including the park, equestrian statue of Washington, statue of Lincoln, a rustic building in the park and views of surrounding buildings and streets.",Parks | Statues | Political campaigns,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/3b7d6540-c557-012f-4c12-58d385a7bc34
71853,"Tammany Hall, N.Y.","Tammany Society, or Columbian order (N.Y.)",1880,,,"General Note: Views of Libraries and organizations: Astor Library; Clinton Hall and the Mercantile Library; 5th Avenue side of The New York Public Library; Masonic Temple, including interiors; Tammany Hall; Union League buildings; Y.M.C.A. building, including interior of lecture hall featuring ornate columns, balconies and an organ; an unidentified library showing several levels of stacks and a skylight above.  Some views duplicated.",Political clubs,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/4f5b7e80-c558-012f-76c1-58d385a7bc34
71859,Tammany Hall.,"Tammany Society, or Columbian Order (N.Y.)",,,,"General Note: Views of Libraries and organizations: Astor Library; Clinton Hall and the Mercantile Library; 5th Avenue side of The New York Public Library; Masonic Temple, including interiors; Tammany Hall; Union League buildings; Y.M.C.A. building, including interior of lecture hall featuring ornate columns, balconies and an organ; an unidentified library showing several levels of stacks and a skylight above.  Some views duplicated.",Political clubs | Buildings,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/5079e530-c558-012f-2b96-58d385a7bc34
71861,Tamany Hall. [Tammany Hall.],"Tammany Society, or Columbian order (N.Y.)",,,,"General Note: Views of Libraries and organizations: Astor Library; Clinton Hall and the Mercantile Library; 5th Avenue side of The New York Public Library; Masonic Temple, including interiors; Tammany Hall; Union League buildings; Y.M.C.A. building, including interior of lecture hall featuring ornate columns, balconies and an organ; an unidentified library showing several levels of stacks and a skylight above.  Some views duplicated.",Political clubs,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/50e648e0-c558-012f-c6f4-58d385a7bc34
71874,"Tammany Hall, 14th St., N.Y.","Alfred S. Campbell Art Co. | Tammany Society, or Columbian order (N.Y.)",1896,,,"General Note: Views of Libraries and organizations: Astor Library; Clinton Hall and the Mercantile Library; 5th Avenue side of The New York Public Library; Masonic Temple, including interiors; Tammany Hall; Union League buildings; Y.M.C.A. building, including interior of lecture hall featuring ornate columns, balconies and an organ; an unidentified library showing several levels of stacks and a skylight above.  Some views duplicated.",Political clubs,still image,Stereoscopic views,,,http://digitalcollections.nypl.org/items/53634380-c558-012f-bbb8-58d385a7bc34
93166,His name is Patrick Brannigan,"Kennedy, Harry | Harding, Frank",1891,,,Statement of Responsibility Note: words and music by Harry Kennedy.,"Politicians | Songs, Irish",notated music,Sheet music,Frank Harding,New York,http://digitalcollections.nypl.org/items/95975b80-c58d-012f-3fc5-58d385a7bc34
93671,"Tim Toolan, or, The stout man that came from Tipperary","Rossiter, Will (1867-1954) | Kelly, J. W., songwriter | Bonnell, Otto",1893,,,Statement of Responsibility Note: by J.W. Kelly.,"Politicians | Humorous songs | Songs, Irish",notated music,Sheet music,Will Rossiter,Chicago ; New York,http://digitalcollections.nypl.org/items/dbec02b0-c58e-012f-8759-58d385a7bc34
93912,Mary had a little lamb,"Edwards, Julian (1855-1910) | Stange, Stanislaus (d. 1917) | D’Arville, Camille",1894,,,Statement of Responsibility Note: by Julian Edwards.,"Political satire, American | Musicals | Topical songs",notated music,Sheet music,The John Church Company,Cincinnati,http://digitalcollections.nypl.org/items/797f99a0-c58f-012f-7b06-58d385a7bc34
94142,Boy wanted,"Schleiffarth, George (d. 1921) | Bradley, Charles | Love, Helene",1895,,,Statement of Responsibility Note: words by Charles Bradley ; music by Geo. Maywood.,Waltzes | Children | Death | Political culture,notated music,Sheet music,National Music Co.,Chicago ; New York,http://digitalcollections.nypl.org/items/0f324010-c590-012f-fe7b-58d385a7bc34
94615,"Let us have free coinage, boys at sixteen to one","Schack, Albert P.",1896,,,Statement of Responsibility Note: words and musci by Albert P. Schack.,Flags | American | Political campaigns | Silver mining | Silver question | Coins,notated music,Sheet music,Albert P. Schack,"Denver, Col.",http://digitalcollections.nypl.org/items/53de4390-c591-012f-b371-58d385a7bc34
96086,The Mick who threw the brick,"Davies, William Cahill | Lawlor, Chas. B. (Charles B.) (1852-1925)",1899,,,Statement of Responsibility Note: words by Wm. Cahill Davies; music by Chas. B. Lawlor.,Violence | Irish | Murder victims | Criminal courts | Political organizations,notated music,Sheet music,Hugo V. Schlam,New York,http://digitalcollections.nypl.org/items/24517f00-c595-012f-fe92-58d385a7bc34
97750,"A chorographical map of the province of New-York in North America, divided into counties, manors, patents and townships : exhibiting likewise all the private grants of land made and located in that Province","Faden, William (1750?-1836) | Sauthier, Claude Joseph",1779,,,"Statement of Responsibility Note: compiled from actual surveys deposited in the Patent Office at New York, by order of His Excellency Major General William Tryon, by Claude Joseph Sauthier, Esqr. ; engraved and published by William Faden.",Administrative and political divisions | Real property,still image,Maps,"... by W. Faden, (successor to the late Thos. Jefferys Georgr. to the King), Charing Cross",London,http://digitalcollections.nypl.org/items/a3495650-c5a6-012f-4042-58d385a7bc34
97751,A map of the State of New York,"De Witt, Simeon (1756-1834)",1804,,,"Statement of Responsibility Note: by Simeon De Witt, Surveyor General.",Administrative and political divisions,still image,Maps,S. De Witt,[Albany?],http://digitalcollections.nypl.org/items/a3e227e0-c5a6-012f-de82-58d385a7bc34
97752,A map of the State of New York,"De Witt, Simeon (1756-1834)",1804,,,"Statement of Responsibility Note: by Simeon De Witt, Surveyor General.",Administrative and political divisions,still image,Maps,S. De Witt,[Albany?],http://digitalcollections.nypl.org/items/a43da510-c5a6-012f-04cc-58d385a7bc34
97755,"A map of the State of New York : exhibiting the situation and    boundaries of the counties and towns, and the number of        inhabitants in each, according to the census of 1840 ...",,1842,,,"General Note: Map printed on 4 sheets, pieced together.","Administrative and political divisions | New York (State) | Census, 1840",still image,Maps,,"Albany, N.Y.?",http://digitalcollections.nypl.org/items/a55d68a0-c5a6-012f-6877-58d385a7bc34
97804,The state of New York from the most recent surveys.,"Huntington, Eleazar (1789-1852 )",1835,,,General Note: Includes elevation profiles of the Erie and Champlain Canals.,Altitudes | Administrative and political divisions,still image,Maps,E. Huntington : Sold by Andrus & Judd,"Hartford, Conn",http://digitalcollections.nypl.org/items/bbb9ccb0-c5a6-012f-88dd-58d385a7bc34
97813,"A map of the Province of New York, with part of Pensilvania, and New England.","Andrews, Peter (fl. 1765-1782) | Dury, Andrew | Montrésor, John (1736-1799 )",1775,,,,Administrative and political divisions,still image,Maps,A. Dury ...,London,http://digitalcollections.nypl.org/items/42ea2b30-c5aa-012f-88b1-58d385a7bc34
97814,"A map of the Province of New York, with part of Pensilvania, and New England.","Montrésor, John (1736-1799 ) | Dury, Andrew | Andrews, Peter (fl. 1765-1782)",1775,,,,Administrative and political divisions,still image,Maps,A. Dury ...,London,http://digitalcollections.nypl.org/items/435e4e10-c5aa-012f-2bf7-58d385a7bc34
97815,"A map of the Province of New York, with part of Pensilvania, and New England.","Montrésor, John (1736-1799 ) | Dury, Andrew | Andrews, Peter (fl. 1765-1782)",1775,,,,Administrative and political divisions,still image,Maps,A. Dury ...,London,http://digitalcollections.nypl.org/items/43befa40-c5aa-012f-f9bf-58d385a7bc34
97816,"A map of the Province of New York, with part of Pensilvania, and New England.","Andrews, Peter (fl. 1765-1782) | Dury, Andrew | Montrésor, John (1736-1799 )",1775,,,,Administrative and political divisions,still image,Maps,A. Dury ...,London,http://digitalcollections.nypl.org/items/44200c30-c5aa-012f-09ed-58d385a7bc34
97915,"Sidney's map of twelve miles around New-York : with the names of property holders, &c., from entirely new & original surveys","Camp, H. | Sidney, J. C. | Friend, N.",1849,,,"Statement of Responsibility Note: engraved on stone by N. Friend, 141 Walnut St., Phila.",Landowners | Administrative and political divisions,still image,Maps,"J.C Sidney],",[Philadelphia? :,http://digitalcollections.nypl.org/items/75b120b0-c5aa-012f-a562-58d385a7bc34
98199,Map of the city of New-York,"Hooker, William",1831,,,Statement of Responsibility Note: compiled & surveyed by William Hooker expressly for the series of views illustrating the city of New-York and its environs.,Administrative and political divisions,cartographic,Maps,Peabody & Co,[New York],http://digitalcollections.nypl.org/items/db6c3ed0-c5aa-012f-4a4f-58d385a7bc34
